duration_minutes,dest_start_candidate,rejection_reason
120,2009-06-22 21:51:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 21:55:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 22:57:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-22 23:37:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 00:45:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 02:25:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 04:25:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 04:42:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 04:46:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 04:51:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 05:23:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 05:27:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 05:57:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 06:01:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 06:35:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 07:33:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 09:59:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 10:00:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 10:36:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 11:20:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 13:07:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 13:52:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 15:29:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 16:32:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 16:41:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 16:50:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 20:09:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 20:21:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 20:50:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 21:39:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-23 23:56:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 01:16:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 03:00:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 03:09:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 04:34:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 04:40:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 04:59:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 05:20:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 05:42:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 07:08:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
