episode_id,paired_destination_id,shift_type,duration_minutes,source_destination_mae,source_destination_rmse,source_destination_correlation,diff_mean,diff_median,diff_p95,hidden_energy_kwh,detected_induced_OR
D360_002_DAILY,D360_002,DAILY,360,1.958538888888889,2.413534713052852,-0.5679171075391618,0.9803611111111112,1.003,5.0381,5.882166666666667,False
D360_002_WEEKLY,D360_002,WEEKLY,360,1.3806888888888889,1.8673324526952584,0.4232016188277035,1.056533333333333,0.8909999999999999,4.179700000000001,6.3392,False
D360_003_DAILY,D360_003,DAILY,360,0.0950888888888888,0.1808983139777704,0.4812631569964857,0.0131,-0.002,0.4641,0.0786000000000002,False
D360_003_WEEKLY,D360_003,WEEKLY,360,0.22935,0.4043434870942717,0.1156514786221269,-0.0975722222222222,-0.0219999999999999,0.9942,-0.5854333333333333,False
D360_004_DAILY,D360_004,DAILY,360,0.6423333333333333,0.8896295358805885,-0.2246734073653224,0.4707777777777777,0.176,1.7092,2.824666666666667,False
D360_004_WEEKLY,D360_004,WEEKLY,360,0.7599666666666666,0.9507307248170278,-0.185768391399187,-0.0763666666666666,-0.1019999999999999,1.8853000000000009,-0.4581999999999997,False
D360_005_DAILY,D360_005,DAILY,360,0.5389611111111111,0.8651897608167947,0.1684372366003995,-0.1749944444444444,0.0159999999999999,2.1232000000000006,-1.0499666666666667,False
D360_005_WEEKLY,D360_005,WEEKLY,360,1.0592,1.3443396148295266,-0.0507104377114656,-0.8709333333333334,-1.011,2.874,-5.2256,False
D360_006_DAILY,D360_006,DAILY,360,0.5310944444444445,0.9628958002931688,-0.0232744825717029,-0.0903277777777777,0.002,1.913700000000001,-0.5419666666666672,False
D360_006_WEEKLY,D360_006,WEEKLY,360,0.3130722222222222,0.5803800766164646,-0.0881317325541472,0.1800611111111111,-0.004,1.2540000000000004,1.0803666666666667,False
D360_007_DAILY,D360_007,DAILY,360,0.6790222222222223,1.0596728425949835,0.6443709430800172,-0.0253222222222222,-0.0470000000000001,2.177400000000001,-0.1519333333333321,False
D360_007_WEEKLY,D360_007,WEEKLY,360,0.8982166666666666,1.342515917555129,0.3656339675747735,0.6807166666666666,0.166,3.1004000000000005,4.084300000000001,False
D360_008_DAILY,D360_008,DAILY,360,0.29955,0.5100019063145199,0.0516995773092584,0.2068055555555555,0.034,1.1383,1.2408333333333337,False
D360_008_WEEKLY,D360_008,WEEKLY,360,0.3108444444444445,0.5178555568667559,0.0120782945768181,0.2250111111111111,0.0559999999999999,1.2065000000000003,1.350066666666667,False
D360_009_DAILY,D360_009,DAILY,360,0.8354555555555554,1.252895907709637,-0.0545443512075299,-0.5555444444444444,-0.205,2.5899000000000005,-3.333266666666668,False
