umbral,fa_agregada,peor_fa_bloque,mediana_fa_bloques,std_fa_bloques,active_fraction_agregada,peor_active_fraction_bloque,duracion_max_horas,peor_duracion_bloque_horas,max_7dias,peor_max_7dias_bloque,n_bloques_sin_eventos,n_bloques_fuera_banda
0.8775006860667859,0.08333333333333333,0.2,0.05,0.07391185942027817,0.0008680555555555555,0.0020833333333333333,0.25,0.25,0.00744047619047619,0.00744047619047619,1,0
0.8784590042023696,0.07777777777777778,0.2,0.05,0.07856742013183862,0.0008101851851851852,0.0020833333333333333,0.25,0.25,0.00744047619047619,0.00744047619047619,2,0
0.8793376776446421,0.07222222222222222,0.16666666666666666,0.05,0.07049209744694178,0.0007523148148148148,0.001736111111111111,0.25,0.25,0.005952380952380952,0.005952380952380952,2,0
0.8799026127279315,0.06666666666666667,0.16666666666666666,0.05,0.06382847385042255,0.0006944444444444445,0.001736111111111111,0.25,0.25,0.004464285714285714,0.004464285714285714,2,0
0.8799835790575478,0.06111111111111111,0.16666666666666666,0.05,0.059056365626303606,0.0006365740740740741,0.001736111111111111,0.25,0.25,0.004464285714285714,0.004464285714285714,2,0
0.8823411705141537,0.05555555555555555,0.16666666666666666,0.03333333333333333,0.0628539361054709,0.0005787037037037037,0.001736111111111111,0.25,0.25,0.004464285714285714,0.004464285714285714,3,0
0.8833652034863814,0.05,0.16666666666666666,0.016666666666666666,0.06309898162000303,0.0005208333333333333,0.001736111111111111,0.25,0.25,0.004464285714285714,0.004464285714285714,3,0
0.8836282304454135,0.044444444444444446,0.13333333333333333,0.016666666666666666,0.05328701692569688,0.000462962962962963,0.001388888888888889,0.25,0.25,0.004464285714285714,0.004464285714285714,3,0
0.8851371408007458,0.03888888888888889,0.13333333333333333,0.0,0.0558326423395605,0.0004050925925925926,0.001388888888888889,0.25,0.25,0.004464285714285714,0.004464285714285714,4,0
0.8859225699749819,0.03333333333333333,0.1,0.0,0.047140452079103175,0.00034722222222222224,0.0010416666666666667,0.25,0.25,0.004464285714285714,0.004464285714285714,4,0
0.8859558061472627,0.027777777777777776,0.1,0.0,0.040445054940447325,0.00028935185185185184,0.0010416666666666667,0.25,0.25,0.002976190476190476,0.002976190476190476,4,0
0.8875194774782191,0.022222222222222223,0.06666666666666667,0.0,0.03142696805273544,0.0002314814814814815,0.0006944444444444445,0.25,0.25,0.002976190476190476,0.002976190476190476,4,0
0.8900849570095644,0.016666666666666666,0.06666666666666667,0.0,0.02545875386086578,0.00017361111111111112,0.0006944444444444445,0.25,0.25,0.002976190476190476,0.002976190476190476,4,0
0.8941758566518817,0.011111111111111112,0.03333333333333333,0.0,0.01571348402636772,0.00011574074074074075,0.00034722222222222224,0.25,0.25,0.001488095238095238,0.001488095238095238,4,0
0.9064263174754967,0.005555555555555556,0.03333333333333333,0.0,0.012422599874998832,5.787037037037037e-05,0.00034722222222222224,0.25,0.25,0.001488095238095238,0.001488095238095238,5,0
0.9132622027099264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
